city_name,state,dealer_count
Anchorage,AK,1
Fairbanks,AK,1
Juneau,AK,1
Birmingham,AL,2
Mobile,AL,2
Albertville,AL,1
Anniston,AL,1
Auburn,AL,1
Clanton,AL,1
Daphne,AL,1
Decatur,AL,1
Dothan,AL,1
Enterprise,AL,1
Hoover,AL,1
Huntsville,AL,1
Jasper,AL,1
Montgomery,AL,1
Rainbow City,AL,1
Scottsboro,AL,1
Sylacauga,AL,1
Tuscaloosa,AL,1
Tuscumbia,AL,1
Little Rock,AR,2
Conway,AR,1
El Dorado,AR,1
Fayetteville,AR,1
Fort Smith,AR,1
Harrison,AR,1
Hot Springs,AR,1
Jonesboro,AR,1
Monticello,AR,1
Pine Bluff,AR,1
Rogers,AR,1
Russellville,AR,1
Searcy,AR,1
Wynne,AR,1
Mesa,AZ,2
Phoenix,AZ,2
Tucson,AZ,2
Avondale,AZ,1
Chandler,AZ,1
Flagstaff,AZ,1
Lake Havasu City,AZ,1
Peoria,AZ,1
Prescott,AZ,1
Scottsdale,AZ,1
Show Low,AZ,1
Sierra Vista,AZ,1
Surprise,AZ,1
Tempe,AZ,1
Yuma,AZ,1
San Diego,CA,3
Bakersfield,CA,2
Long Beach,CA,2
Los Angeles,CA,2
Oakland,CA,2
San Jose,CA,2
Alhambra,CA,1
Anaheim,CA,1
Antioch,CA,1
Auburn,CA,1
Barstow,CA,1
Berkeley,CA,1
Bishop,CA,1
Buena Park,CA,1
Burlingame,CA,1
Capitola,CA,1
Carlsbad,CA,1
Carson,CA,1
Cathedral City,CA,1
Cerritos,CA,1
Chico,CA,1
Chula Vista,CA,1
City Of Industry,CA,1
Claremont,CA,1
Clovis,CA,1
Concord,CA,1
Corona,CA,1
Costa Mesa,CA,1
Covina,CA,1
Culver City,CA,1
Daly City,CA,1
Davis,CA,1
Downey,CA,1
Dublin,CA,1
El Cajon,CA,1
El Monte,CA,1
Elk Grove,CA,1
Escondido,CA,1
Eureka,CA,1
Fairfield,CA,1
Folsom,CA,1
Fremont,CA,1
Fresno,CA,1
Garden Grove,CA,1
Gardena,CA,1
Gilroy,CA,1
Glendale,CA,1
Glendora,CA,1
Goleta,CA,1
Hanford,CA,1
Hayward,CA,1
Hemet,CA,1
Hollywood,CA,1
Huntington Beach,CA,1
Imperial,CA,1
Indio,CA,1
Irvine,CA,1
La Crescenta,CA,1
Lake Tahoe,CA,1
Lancaster,CA,1
Lemon Grove,CA,1
Livermore,CA,1
Lodi,CA,1
Lompoc,CA,1
Madera,CA,1
Manhattan Beach,CA,1
Marina Del Rey,CA,1
Merced,CA,1
Milpitas,CA,1
Mission Hills,CA,1
Modesto,CA,1
Moreno Valley,CA,1
Napa,CA,1
National City,CA,1
Northridge,CA,1
Norwalk,CA,1
Novato,CA,1
Ontario,CA,1
Orange,CA,1
Oroville,CA,1
Oxnard,CA,1
Palo Alto,CA,1
Pasadena,CA,1
Petaluma,CA,1
Placerville,CA,1
Poway,CA,1
Rancho Santa Margarita,CA,1
Redding,CA,1
Redlands,CA,1
Redwood City,CA,1
Richmond,CA,1
Ridgecrest,CA,1
Riverside,CA,1
Roseville,CA,1
Sacramento,CA,1
Salinas,CA,1
San Bernardino,CA,1
San Bruno,CA,1
San Francisco,CA,1
San Juan Capistrano,CA,1
San Luis Obispo,CA,1
San Rafael,CA,1
Santa Maria,CA,1
Santa Monica,CA,1
Santa Rosa,CA,1
Seaside,CA,1
Selma,CA,1
Simi Valley,CA,1
Stockton,CA,1
Sunnyvale,CA,1
Temecula,CA,1
Thousand Oaks,CA,1
Torrance,CA,1
Tracy,CA,1
Tustin,CA,1
Ukiah,CA,1
Vacaville,CA,1
Valencia,CA,1
Vallejo,CA,1
Van Nuys,CA,1
Ventura,CA,1
Victorville,CA,1
Visalia,CA,1
Walnut Creek,CA,1
Westminster,CA,1
Whittier,CA,1
Yuba City,CA,1
Colorado Springs,CO,2
Aurora,CO,1
Boulder,CO,1
Centennial,CO,1
Delta,CO,1
Denver,CO,1
Durango,CO,1
Englewood,CO,1
Fort Morgan,CO,1
Frederick,CO,1
Ft Collins,CO,1
Glenwood Springs,CO,1
Grand Junction,CO,1
Greeley,CO,1
Lakewood,CO,1
Montrose,CO,1
Pueblo,CO,1
Trinidad,CO,1
Bristol,CT,1
Colchester,CT,1
Cos Cob,CT,1
Danbury,CT,1
Enfield,CT,1
Hartford,CT,1
Litchfield,CT,1
Manchester,CT,1
Middletown,CT,1
Milford,CT,1
New Haven,CT,1
New London,CT,1
Norwich,CT,1
Simsbury,CT,1
Stamford,CT,1
Torrington,CT,1
Wallingford,CT,1
Watertown,CT,1
Westbrook,CT,1
Westport,CT,1
Dover,DE,1
Milford,DE,1
New Castle,DE,1
Newark,DE,1
Jacksonville,FL,4
Miami,FL,3
Tampa,FL,3
Bradenton,FL,2
Orlando,FL,2
Clearwater,FL,1
Clermont,FL,1
Cocoa,FL,1
Coconut Creek,FL,1
Davie,FL,1
Daytona Beach,FL,1
Deerfield Beach,FL,1
Deland,FL,1
Delray Beach,FL,1
Doral,FL,1
Ft Walton Beach,FL,1
Ft. Lauderdale,FL,1
Ft. Myers,FL,1
Ft. Pierce,FL,1
Gainesville,FL,1
Haines City,FL,1
Hialeah,FL,1
Holiday,FL,1
Hollywood,FL,1
Homestead,FL,1
Homosassa,FL,1
Key West,FL,1
Lake City,FL,1
Lake Park,FL,1
Lakeland,FL,1
Leesburg,FL,1
Marianna,FL,1
Melbourne,FL,1
Naples,FL,1
Ocala,FL,1
Palm Beach,FL,1
Panama City,FL,1
Pensacola,FL,1
Pinellas Park,FL,1
Punta Gorda,FL,1
Royal Palm Beach,FL,1
Sanford,FL,1
Sarasota,FL,1
Sebring,FL,1
St. Augustine,FL,1
Stuart,FL,1
Tallahassee,FL,1
Venice,FL,1
Vero Beach,FL,1
Wesley Chapel,FL,1
Winter Park,FL,1
Atlanta,GA,2
Savannah,GA,2
Albany,GA,1
Athens,GA,1
Augusta,GA,1
Brunswick,GA,1
Buford,GA,1
Canton,GA,1
Columbus,GA,1
Cumming,GA,1
Dalton,GA,1
Dublin,GA,1
Duluth,GA,1
Gainesville,GA,1
Kennesaw,GA,1
LaGrange,GA,1
Lilburn,GA,1
Lithia Springs,GA,1
Lithonia,GA,1
Macon,GA,1
Marietta,GA,1
McDonough,GA,1
Milledgeville,GA,1
Morrow,GA,1
Newnan,GA,1
Rome,GA,1
Roswell,GA,1
Statesboro,GA,1
Thomasville,GA,1
Tifton,GA,1
Union City,GA,1
Valdosta,GA,1
Warner Robins,GA,1
Waycross,GA,1
Ames,IA,1
Burlington,IA,1
Carroll,IA,1
Cedar Falls,IA,1
Clinton,IA,1
Davenport,IA,1
Dubuque,IA,1
Fort Dodge,IA,1
Grimes,IA,1
Hiawatha,IA,1
Iowa City,IA,1
Mason City,IA,1
Muscatine,IA,1
Ottumwa,IA,1
Sioux City,IA,1
Spirit Lake,IA,1
Boise,ID,1
Coeur d'Alene,ID,1
Idaho Falls,ID,1
Lewiston,ID,1
Nampa,ID,1
Pocatello,ID,1
Rexburg,ID,1
Twin Falls,ID,1
Chicago,IL,4
Alton,IL,1
Bloomington,IL,1
Bourbonnais,IL,1
Calumet City,IL,1
Crystal Lake,IL,1
DeKalb,IL,1
Decatur,IL,1
Dixon,IL,1
Effingham,IL,1
Elmhurst,IL,1
Fox Lake,IL,1
Galesburg,IL,1
Hodgkins,IL,1
Libertyville,IL,1
Lincolnwood,IL,1
Lombard,IL,1
Loves Park,IL,1
Macomb,IL,1
Marion,IL,1
Matteson,IL,1
Mattoon,IL,1
Moline,IL,1
Mt Vernon,IL,1
Naperville,IL,1
Northbrook,IL,1
O'Fallon,IL,1
Oak Lawn,IL,1
Ottawa,IL,1
Palatine,IL,1
Park Ridge,IL,1
Pekin,IL,1
Peoria,IL,1
Quincy,IL,1
Romeoville,IL,1
Schaumburg,IL,1
Springfield,IL,1
St. Charles,IL,1
Streamwood,IL,1
Tilton,IL,1
Tinley Park,IL,1
Urbana,IL,1
Waukegan,IL,1
Westmont,IL,1
Indianapolis,IN,3
Fort Wayne,IN,2
Avon,IN,1
Bend,IN,1
Bloomington,IN,1
Burns Harbor,IN,1
Clarksville,IN,1
Elkhart,IN,1
Evansville,IN,1
Jasper,IN,1
Kokomo,IN,1
Lafayette,IN,1
Madison,IN,1
Merrillville,IN,1
Mishawaka,IN,1
Muncie,IN,1
Noblesville,IN,1
Richmond,IN,1
Schererville,IN,1
Taylorsville,IN,1
Terre Haute,IN,1
Warsaw,IN,1
Whitestown,IN,1
Dodge City,KS,1
Emporia,KS,1
Ft Scott,KS,1
Garden City,KS,1
Hays,KS,1
Hutchinson,KS,1
Independence,KS,1
Kansas City,KS,1
Lawrence,KS,1
Manhattan,KS,1
Merriam,KS,1
Olathe,KS,1
Salina,KS,1
Topeka,KS,1
Wichita,KS,1
Louisville,KY,2
Ashland,KY,1
Bowling Green,KY,1
Corbin,KY,1
Dry Ridge,KY,1
Elizabethtown,KY,1
Florence,KY,1
Frankfort,KY,1
