State,cluster_reduced,Registration Count,Mean households income,URBAN POP_PCT,ports_per_100k_pop,registrations_per_port,state_priority_score
California,1,1256646,89870,94.2,159.513,20.106,0.831
Hawaii,1,25565,97360,86.1,64.95,27.43,0.601
New Jersey,1,134753,91590,93.8,59.647,24.046,0.544
Washington,1,152101,93440,83.4,99.494,19.503,0.542
Massachusetts,1,73768,106500,91.3,147.89,7.052,0.509
Colorado,1,90083,96640,86.0,117.045,13.018,0.489
Utah,1,39998,101200,89.8,83.525,13.883,0.468
Nevada,1,47361,81310,94.1,81.53,18.091,0.46
Maryland,1,72139,102000,85.6,85.126,13.658,0.442
Oregon,1,64361,88740,80.5,97.615,15.512,0.401
Arizona,1,89798,82660,89.3,61.567,19.572,0.39
Connecticut,1,31557,92240,86.3,123.031,7.044,0.337
Florida,1,254878,72200,91.5,61.201,18.163,0.32
Illinois,1,99573,87820,86.9,42.498,18.546,0.32
Virginia,1,84936,96490,75.6,60.227,16.151,0.306
Texas,1,230125,79060,83.7,38.318,19.55,0.245
New York,1,131250,81600,87.4,95.055,6.978,0.224
Georgia,1,92368,72420,74.1,63.876,13.07,0.113
