State,state_abbr,cluster_reduced,market_type,cluster_role,target_cluster_flag,expansion_priority_band,demand_score,supply_score,pressure_score,growth_potential_score,state_priority_score,Registration Count,Mean households income,Population,Population Density,URBAN POP_PCT,EV Charging Station,EV Charging Port,registrations_per_1k_pop,stations_per_100k_pop,ports_per_100k_pop,stations_per_1k_reg,ports_per_1k_reg,registrations_per_station,registrations_per_port,demand_supply_gap,pca_1,pca_2
California,CA,1,Mature EV markets,Primary target,1,High,0.867,0.6,1.0,0.9,0.831,1256646,89870,39181667,250.15,94.2,18905,62500,32.0723,48.2496,159.5134,15.044,49.7356,66.4716,20.1063,0.2011,5.6724,0.7404
Hawaii,HI,1,Mature EV markets,Primary target,1,High,0.867,0.6,1.0,0.9,0.601,25565,97360,1434950,223.26,86.1,362,932,17.816,25.2274,64.95,14.16,36.4561,70.6215,27.4303,0.2743,2.11,0.3221
New Jersey,NJ,1,Mature EV markets,Primary target,1,High,0.867,0.6,1.0,0.9,0.544,134753,91590,9395315,1263.37,93.8,1788,5604,14.3426,19.0308,59.6467,13.2687,41.5872,75.3652,24.0459,0.2405,2.7913,-0.8353
Washington,WA,1,Mature EV markets,Primary target,1,High,0.867,0.6,1.0,0.9,0.542,152101,93440,7838655,220.69,83.4,2790,7799,19.404,35.5928,99.4941,18.3431,51.2751,54.5165,19.5026,0.195,3.287,0.3781
Massachusetts,MA,1,Mature EV markets,Primary target,1,High,0.867,0.6,1.0,0.9,0.509,73768,106500,7073479,897.5,91.3,4133,10461,10.4288,58.4295,147.8905,56.027,141.8095,17.8485,7.0517,0.0705,2.414,3.156
Colorado,CO,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.489,90083,96640,5912240,56.71,86.0,2640,6920,15.2367,44.6531,117.0453,29.3063,76.818,34.1223,13.0178,0.1302,2.7962,1.3034
Utah,UT,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.468,39998,101200,3449259,94.83,89.8,961,2881,11.5961,27.8611,83.5252,24.0262,72.0286,41.6212,13.8834,0.1388,1.9489,0.5089
Nevada,NV,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.46,47361,81310,3211077,29.1,94.1,635,2618,14.7493,19.7753,81.5303,13.4077,55.2775,74.5843,18.0905,0.1809,2.0253,-0.4477
Maryland,MD,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.442,72139,102000,6204927,636.81,85.6,1644,5282,11.6261,26.4951,85.1259,22.7893,73.2198,43.8802,13.6575,0.1366,2.2208,0.3266
Oregon,OR,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.401,64361,88740,4250392,44.1,80.5,1598,4149,15.1424,37.5965,97.6145,24.8287,64.4645,40.276,15.5124,0.1551,2.1989,0.6594
Arizona,AZ,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.39,89798,82660,7452073,65.42,89.3,1484,4588,12.0501,19.9139,61.5668,16.526,51.0925,60.5108,19.5724,0.1957,1.9645,-1.0539
Connecticut,CT,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.337,31557,92240,3641369,747.35,86.3,1464,4480,8.6662,40.2047,123.0307,46.3922,141.9653,21.5553,7.044,0.0704,1.1045,2.0088
Florida,FL,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.32,254878,72200,22929248,421.82,91.5,4162,14033,11.1158,18.1515,61.2013,16.3294,55.0577,61.2393,18.1628,0.1816,2.2753,-1.8156
Illinois,IL,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.32,99573,87820,12633389,226.05,86.9,1679,5369,7.8817,13.2902,42.4985,16.862,53.9202,59.3049,18.5459,0.1855,1.605,-1.6411
Virginia,VA,1,Mature EV markets,Primary target,1,Medium,0.867,0.6,1.0,0.9,0.306,84936,96490,8732034,70.25,75.6,1777,5259,9.7269,20.3504,60.2265,20.9216,61.9172,47.7974,16.1506,0.1615,1.6265,-0.6962
Texas,TX,1,Mature EV markets,Primary target,1,Low,0.867,0.6,1.0,0.9,0.245,230125,79060,30719247,116.77,83.7,3702,11771,7.4912,12.0511,38.318,16.0869,51.1505,62.1623,19.5502,0.1955,1.7431,-2.4037
New York,NY,1,Mature EV markets,Primary target,1,Low,0.867,0.6,1.0,0.9,0.224,131250,81600,19786543,415.3,87.4,5131,18808,6.6333,25.9318,95.0545,39.0933,143.299,25.5798,6.9784,0.0698,1.2399,-0.0527
Georgia,GA,1,Mature EV markets,Primary target,1,Low,0.867,0.6,1.0,0.9,0.113,92368,72420,11063669,191.81,74.1,2308,7067,8.3488,20.8611,63.8757,24.987,76.5092,40.0208,13.0703,0.1307,0.9277,-1.1536
District of Columbia,DC,2,Urban outlier market,Special case,0,Non-target,0.933,0.9,0.6,0.8,0.0,8066,111000,682559,11130.69,100.0,318,1091,11.8173,46.5894,159.8397,39.4247,135.2591,25.3648,7.3932,0.0739,2.523,5.855
Alabama,AL,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,13047,60660,5117850,100.87,57.7,539,1649,2.5493,10.5318,32.2206,41.3122,126.3892,24.2059,7.9121,0.0791,-1.9117,-1.2741
Alaska,AK,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,2697,98190,734654,1.29,64.9,71,196,3.6711,9.6644,26.6792,26.3255,72.6733,37.9859,13.7602,0.1376,-1.2533,-0.1691
Arkansas,AR,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,7108,63250,3069856,58.96,55.5,364,1067,2.3154,11.8572,34.7573,51.2099,150.1125,19.5275,6.6617,0.0666,-2.505,-0.6111
Delaware,DE,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,8435,86340,1035354,529.45,82.6,216,699,8.147,20.8624,67.5131,25.6076,82.869,39.0509,12.0672,0.1207,0.1388,0.423
Idaho,ID,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,8501,73910,1970497,23.77,69.2,236,648,4.3141,11.9767,32.8851,27.7614,76.2263,36.0212,13.1188,0.1312,-1.0089,-1.0037
Indiana,IN,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,26101,76910,6881373,191.56,71.2,703,2069,3.793,10.216,30.0667,26.9338,79.269,37.128,12.6153,0.1262,-0.3374,-1.5744
Iowa,IA,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,9031,80860,3214739,57.41,63.2,478,1234,2.8092,14.869,38.3857,52.9288,136.6405,18.8933,7.3185,0.0732,-1.681,-0.1456
Kansas,KS,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,11271,84830,2949749,35.96,72.3,567,1322,3.821,19.222,44.8174,50.3061,117.2922,19.8783,8.5257,0.0853,-0.9703,0.0374
Kentucky,KY,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,11617,61980,4549953,114.61,58.7,377,1095,2.5532,8.2858,24.0662,32.4524,94.2584,30.8143,10.6091,0.1061,-1.667,-1.6819
Louisiana,LA,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,8150,57650,4598777,105.88,71.5,276,849,1.7722,6.0016,18.4614,33.865,104.1718,29.529,9.5995,0.096,-1.7369,-1.8009
Michigan,MI,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,50284,76960,10062124,177.56,73.5,1967,5315,4.9974,19.5486,52.8218,39.1178,105.6996,25.5638,9.4608,0.0946,0.043,-0.8255
Minnesota,MN,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,37050,90340,5752998,72.08,71.9,1070,2961,6.4401,18.599,51.4688,28.8799,79.919,34.6262,12.5127,0.1251,0.4716,-0.6177
Missouri,MO,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,26861,78290,6205956,90.17,69.5,1305,3175,4.3283,21.0282,51.1605,48.5834,118.2011,20.5831,8.4602,0.0846,-0.6067,-0.3335
Montana,MT,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,4608,79220,1130612,7.78,53.4,155,473,4.0757,13.7094,41.8357,33.6372,102.6476,29.729,9.7421,0.0974,-1.7947,-0.196
Nebraska,NE,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,6920,89190,1988172,25.75,73.0,314,692,3.4806,15.7934,34.8058,45.3757,100.0,22.0382,10.0,0.1,-1.0611,-0.0898
New Hampshire,NH,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,9861,98780,1401530,156.62,58.3,284,771,7.0359,20.2636,55.0113,28.8003,78.1868,34.7218,12.7899,0.1279,-0.3058,0.3658
New Mexico,NM,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,10276,60980,2119349,17.43,74.5,441,1137,4.8487,20.8083,53.6485,42.9155,110.6462,23.3016,9.0378,0.0904,-1.2183,-0.3639
North Carolina,NC,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,70164,68610,10871849,222.87,66.7,1874,5636,6.4537,17.2372,51.8403,26.7089,80.3261,37.4408,12.4493,0.1245,0.2383,-1.4595
Ohio,OH,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,50393,73770,11808390,288.46,76.3,1883,5053,4.2676,15.9463,42.7916,37.3663,100.2719,26.7621,9.9729,0.0997,-0.0293,-1.2581
Oklahoma,OK,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,22843,67330,4062716,59.09,64.6,395,1642,5.6226,9.7226,40.4163,17.2919,71.882,57.8304,13.9117,0.1391,-0.4852,-1.6544
Pennsylvania,PA,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,70154,79820,13009406,289.72,76.5,1928,5472,5.3926,14.82,42.0619,27.4824,77.9998,36.3869,12.8205,0.1282,0.5898,-1.4879
Rhode Island,RI,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,6396,81860,1101183,1059.92,91.1,333,815,5.8083,30.2402,74.0113,52.0638,127.4234,19.2072,7.8479,0.0785,-0.4639,1.4285
South Carolina,SC,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,20873,69100,5390798,178.7,67.9,641,2012,3.872,11.8906,37.3229,30.7095,96.3925,32.5632,10.3743,0.1037,-0.8018,-1.3412
Tennessee,TN,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,33221,72700,7153029,172.83,66.2,1093,2974,4.6443,15.2802,41.5768,32.9009,89.5217,30.3943,11.1705,0.1117,-0.4095,-1.2283
Wisconsin,WI,0,Emerging EV markets,Secondary expansion,0,Non-target,0.467,0.4,0.8,0.65,0.0,24943,79690,5930350,73.64,67.1,811,2131,4.206,13.6754,35.9338,32.5141,85.4348,30.7559,11.7048,0.117,-0.4386,-1.1502
Maine,ME,3,Infrastructure-heavy niche markets,Niche case,0,Non-target,0.467,0.9,0.4,0.45,0.0,7377,75740,1401992,45.26,38.6,641,1561,5.2618,45.7207,111.3416,86.8917,211.6036,11.5086,4.7258,0.0473,-2.4998,3.0258
Vermont,VT,3,Infrastructure-heavy niche markets,Niche case,0,Non-target,0.467,0.9,0.4,0.45,0.0,7816,85190,647722,41.58,35.1,526,1347,12.0669,81.2077,207.9596,67.2979,172.3388,14.8593,5.8025,0.058,-0.5723,4.8677
Mississippi,MS,4,Low-adoption rural markets,Long-term opportunity,0,Non-target,0.267,0.2,0.2,0.2,0.0,3590,55060,2942470,62.65,46.3,215,658,1.2201,7.3068,22.3622,59.8886,183.2869,16.6977,5.4559,0.0546,-3.7098,-0.7015
North Dakota,ND,4,Low-adoption rural markets,Long-term opportunity,0,Non-target,0.267,0.2,0.2,0.2,0.0,959,76960,787071,11.36,61.0,106,272,1.2184,13.4677,34.5585,110.5318,283.6288,9.0472,3.5257,0.0353,-4.8018,2.061
South Dakota,SD,4,Low-adoption rural markets,Long-term opportunity,0,Non-target,0.267,0.2,0.2,0.2,0.0,1675,81740,917739,12.13,57.2,116,314,1.8251,12.6398,34.2145,69.2537,187.4627,14.4397,5.3344,0.0533,-3.3395,0.9009
West Virginia,WV,4,Low-adoption rural markets,Long-term opportunity,0,Non-target,0.267,0.2,0.2,0.2,0.0,2758,60410,1770036,117.58,44.6,183,547,1.5582,10.3388,30.9033,66.3524,198.3321,15.071,5.042,0.0504,-3.9027,0.0439
Wyoming,WY,4,Low-adoption rural markets,Long-term opportunity,0,Non-target,0.267,0.2,0.2,0.2,0.0,1139,77200,584666,109.15,62.0,119,330,1.9481,20.3535,56.4425,104.4776,289.7278,9.5714,3.4515,0.0345,-4.4434,2.6551
