city_name,state_abbr,dealer_count
City Of Industry,CA,1
Hollywood,CA,1
La Crescenta,CA,1
Lake Tahoe,CA,1
Northridge,CA,1
Valencia,CA,1
Van Nuys,CA,1
Ventura,CA,1
Ft Collins,CO,1
Colchester,CT,1
Enfield,CT,1
Litchfield,CT,1
Manchester,CT,1
Milford,CT,1
Simsbury,CT,1
Wallingford,CT,1
Watertown,CT,1
Westbrook,CT,1
Westport,CT,1
Ft Walton Beach,FL,1
Ft. Lauderdale,FL,1
Ft. Myers,FL,1
Ft. Pierce,FL,1
Mt Vernon,IL,1
Bend,IN,1
Ft Scott,KS,1
Adams,MA,1
Auburn,MA,1
Bourne,MA,1
Braintree,MA,1
Danvers,MA,1
Dartmouth,MA,1
Dorchester,MA,1
Dudley,MA,1
Greenfield,MA,1
Hanover,MA,1
Hyannis,MA,1
Kingston,MA,1
Lancaster,MA,1
Lexington,MA,1
Littleton,MA,1
Milford,MA,1
Norwood,MA,1
Orleans,MA,1
Raynham,MA,1
Swansea,MA,1
Tewksbury,MA,1
Watertown,MA,1
Wellesley,MA,1
Westborough,MA,1
Wilbraham,MA,1
Clarksville,MD,1
Houlton,ME,1
Topsham,ME,1
Canton,MI,1
Macomb,MI,1
Waterford,MI,1
Plains,MO,1
Devils Lake,ND,1
Platte,NE,1
Bow,NH,1
Epping,NH,1
Gorham,NH,1
Salem,NH,1
Swanzey,NH,1
Brunswick,NJ,1
Burlington,NJ,1
Clinton,NJ,1
Freehold,NJ,1
Green Brook,NJ,1
Hillside,NJ,1
Lakewood,NJ,1
Little Falls,NJ,1
Mount Laurel,NJ,1
Toms River,NJ,1
Amherst,NY,1
Bayside,NY,1
Canandaigua,NY,1
Cicero,NY,1
Cortlandt Manor,NY,1
Grand Island,NY,1
Hempstead,NY,1
Islip,NY,1
Jamaica,NY,1
Mamaroneck,NY,1
Mt. Kisco,NY,1
New Hampton,NY,1
Newburgh,NY,1
Orchard Park,NY,1
Potsdam,NY,1
Riverhead,NY,1
Smithtown,NY,1
Woodside,NY,1
Boardman,OH,1
Cleveland Hts,OH,1
Olmsted,OH,1
Doylestown,PA,1
Glen Mills,PA,1
Hatfield,PA,1
Limerick,PA,1
Moon Township,PA,1
Springfield,PA,1
Kingstown,RI,1
Middletown,RI,1
Smithfield,RI,1
Westerly,RI,1
Augusta,SC,1
Cordova,TN,1
Madison,TN,1
Mt. Pleasant,TX,1
Gloucester,VA,1
Stafford,VA,1
Bennington,VT,1
Berlin,VT,1
Westminster,VT,1
Allis,WI,1
Bend,WI,1
Saint Albans,WV,1
