"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"860Z200US73949","ZCTA5 73949","505","101","0.2","0.5","0.2","0.4","8.5","5.1","8.7","7.2","12.7","5.5","21.8","9.7","15.6","7.8","17.6","8.8","11.7","7.8","3.0","2.5","62477","30901","87557","13475","39.0","(X)","(X)","(X)","(X)","(X)","375","76","0.0","10.1","0.0","10.1","5.9","4.6","10.4","9.8","14.1","7.1","12.5","6.9","21.1","9.5","23.7","11.0","9.6","6.7","2.7","2.8","86094","20852","91841","14627","(X)","(X)","38.7","(X)","(X)","(X)","340","72","0.0","11.1","0.0","11.1","0.9","1.2","11.5","10.9","13.2","7.2","11.8","7.1","23.2","10.5","26.2","11.8","10.3","7.2","2.9","3.1","92250","13734","N","N","(X)","(X)","(X)","(X)","(X)","(X)","130","76","0.8","1.8","0.8","1.7","18.5","15.6","3.8","4.5","6.2","6.0","48.5","29.2","0.0","26.0","0.0","26.0","17.7","24.9","3.8","5.1","60784","3941","74725","28950","(X)","(X)","(X)","(X)","40.0","(X)",
"860Z200US73960","ZCTA5 73960","5","4","0.0","100.0","0.0","100.0","0.0","100.0","40.0","60.0","0.0","100.0","60.0","60.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","0.0","(X)","(X)","(X)","(X)","(X)","0","15","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","-","(X)","(X)","(X)","0","15","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","-","**","(X)","(X)","(X)","(X)","(X)","(X)","5","4","0.0","100.0","0.0","100.0","0.0","100.0","40.0","60.0","0.0","100.0","60.0","60.0","0.0","100.0","0.0","100.0","0.0","100.0","0.0","100.0","-","**","N","N","(X)","(X)","(X)","(X)","0.0","(X)",
"860Z200US75001","ZCTA5 75001","10579","551","4.1","1.7","0.9","0.8","4.6","2.5","3.9","2.0","10.2","2.5","29.6","5.0","15.4","4.0","17.9","4.3","5.0","1.6","8.4","1.8","73514","2941","95476","5738","22.5","(X)","(X)","(X)","(X)","(X)","3148","339","1.6","1.5","0.8","1.4","5.6","3.8","1.4","1.8","6.8","2.7","24.8","7.7","13.1","6.1","18.9","7.7","7.0","3.5","20.0","5.9","94630","13049","128247","14801","(X)","(X)","28.7","(X)","(X)","(X)","2120","279","1.7","1.7","1.2","2.1","5.3","4.7","0.9","1.4","2.5","2.2","21.1","8.1","8.8","3.8","21.2","8.0","8.4","4.7","28.9","8.1","116728","13171","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7431","772","5.2","2.5","0.9","0.9","4.8","3.2","5.0","2.8","11.6","3.7","31.7","6.3","16.3","4.6","16.9","4.7","4.1","1.8","3.4","1.4","70625","4499","80908","5963","(X)","(X)","(X)","(X)","19.3","(X)",
"860Z200US75002","ZCTA5 75002","23656","741","2.5","1.1","1.0","0.6","2.3","0.9","2.9","1.0","5.7","1.3","13.4","2.1","10.8","1.9","16.6","2.2","16.0","2.4","29.0","2.7","137037","11198","164761","7876","39.6","(X)","(X)","(X)","(X)","(X)","19374","728","1.9","1.0","0.8","0.7","1.8","1.1","1.7","0.7","4.5","1.3","10.1","1.7","10.7","2.0","17.0","2.4","18.3","3.0","33.2","3.0","152629","5101","180604","8562","(X)","(X)","39.9","(X)","(X)","(X)","16288","723","1.2","0.8","0.6","0.7","1.2","1.0","0.9","0.5","3.0","1.1","8.5","1.7","9.5","2.2","17.5","2.6","19.9","3.5","37.6","3.4","165641","9458","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4282","624","5.1","3.4","1.5","1.4","5.2","2.5","7.7","4.2","11.0","4.5","28.8","7.6","11.1","3.8","15.9","4.8","5.2","2.6","8.5","4.2","68077","3038","88702","10067","(X)","(X)","(X)","(X)","35.7","(X)",
"860Z200US75006","ZCTA5 75006","18774","664","3.7","1.4","1.6","0.8","4.0","1.2","5.1","1.7","10.5","2.3","20.0","2.5","15.7","2.7","20.9","2.4","7.2","1.6","11.3","2.1","84815","6620","111329","16130","37.5","(X)","(X)","(X)","(X)","(X)","11754","507","3.0","1.6","1.3","0.9","3.1","1.4","2.4","1.4","9.8","2.5","15.6","2.9","16.4","3.1","26.3","3.4","7.8","2.0","14.4","2.6","98130","4717","116596","6422","(X)","(X)","38.6","(X)","(X)","(X)","8857","599","2.5","1.8","1.1","0.8","1.8","1.2","1.7","1.7","8.9","2.9","13.1","3.0","18.7","4.0","28.5","4.3","7.2","2.2","16.6","3.0","102445","7014","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7020","707","6.7","2.7","2.2","1.6","5.9","2.3","9.3","3.4","12.1","4.0","25.8","5.0","16.0","5.0","11.6","3.6","4.8","2.3","5.8","3.7","61593","5894","97492","40330","(X)","(X)","(X)","(X)","34.4","(X)",
"860Z200US75007","ZCTA5 75007","20788","631","2.1","0.7","2.3","1.0","3.5","1.0","5.2","1.4","6.5","1.6","13.4","1.8","10.1","1.8","21.7","2.1","13.1","2.0","22.0","2.2","111521","2673","134109","4968","33.6","(X)","(X)","(X)","(X)","(X)","14780","595","1.6","0.6","1.7","0.8","2.8","1.1","2.9","1.4","4.1","1.5","10.2","1.6","11.6","2.6","22.5","2.3","15.9","2.6","26.6","3.0","129674","9454","152265","5911","(X)","(X)","34.0","(X)","(X)","(X)","11684","619","0.9","0.5","1.0","0.8","2.5","1.1","1.2","0.7","3.4","1.6","7.5","1.5","11.2","3.0","22.0","2.7","18.7","3.1","31.5","3.5","150577","10695","N","N","(X)","(X)","(X)","(X)","(X)","(X)","6008","553","3.6","2.0","5.0","2.6","5.5","2.0","10.8","3.5","12.1","4.1","22.9","4.4","8.8","2.7","18.0","4.0","5.2","1.7","8.2","2.6","62641","3555","83445","6808","(X)","(X)","(X)","(X)","31.4","(X)",
"860Z200US75009","ZCTA5 75009","10605","782","0.2","0.3","0.1","0.1","5.0","4.4","3.0","2.8","5.8","3.2","5.5","2.9","6.4","3.3","15.9","4.7","22.8","6.5","35.4","6.1","168250","10848","190419","17967","38.9","(X)","(X)","(X)","(X)","(X)","9491","838","0.5","0.5","0.0","0.5","4.1","4.7","1.4","1.8","4.3","3.4","5.2","3.3","4.4","2.1","17.5","5.4","23.9","7.0","38.8","6.4","173836","8723","201596","20192","(X)","(X)","38.4","(X)","(X)","(X)","8680","901","0.2","0.3","0.0","0.6","4.5","5.0","1.3","1.9","4.2","3.7","4.6","3.3","4.0","2.3","14.7","5.5","24.3","7.4","42.2","7.0","176817","12754","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1114","524","0.1","0.2","0.8","1.4","12.4","9.7","16.4","19.3","18.5","13.0","9.7","7.9","23.2","21.5","2.3","3.8","14.2","15.6","2.4","4.0","58500","32660","80861","22350","(X)","(X)","(X)","(X)","43.1","(X)",
"860Z200US75010","ZCTA5 75010","13516","593","2.7","1.8","1.4","0.8","2.5","1.4","3.3","1.3","6.7","1.8","13.6","2.7","14.8","3.3","23.4","3.0","10.9","2.3","20.7","3.2","107317","9106","146945","11246","34.2","(X)","(X)","(X)","(X)","(X)","8869","558","2.4","2.8","1.6","1.2","1.2","0.9","2.7","1.4","3.8","1.6","9.5","3.0","14.0","3.3","24.9","3.5","12.8","3.0","27.3","4.4","123937","11287","172941","15485","(X)","(X)","35.4","(X)","(X)","(X)","6835","496","2.8","3.5","0.3","0.6","0.2","0.4","1.0","0.8","2.2","1.4","7.7","3.0","10.8","3.2","26.6","4.4","14.8","3.6","33.5","5.1","146369","11964","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4647","604","3.5","2.4","1.9","1.4","4.9","3.3","5.1","2.5","14.1","4.2","19.6","4.8","16.8","6.9","20.1","6.0","6.4","3.2","7.5","3.4","75373","8876","93304","9991","(X)","(X)","(X)","(X)","30.6","(X)",
"860Z200US75013","ZCTA5 75013","18064","795","1.6","0.8","0.9","0.7","2.9","1.8","3.3","1.4","5.8","1.8","10.2","2.3","8.0","2.7","18.6","3.0","14.8","3.3","33.9","3.5","146891","11182","182551","10586","37.2","(X)","(X)","(X)","(X)","(X)","13450","779","1.1","0.8","0.4","0.4","0.8","1.0","2.6","1.6","4.9","2.1","8.1","2.5","6.1","2.5","18.7","3.5","15.6","2.9","41.5","4.1","172825","12365","206541","12744","(X)","(X)","37.2","(X)","(X)","(X)","11585","711","0.5","0.4","0.3","0.4","0.0","0.4","2.1","1.6","4.8","2.3","6.3","2.4","5.3","2.2","18.0","3.8","15.4","3.1","47.2","4.6","187068","16570","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4614","733","2.9","2.4","2.3","2.1","8.7","6.1","5.3","3.1","8.4","3.9","16.1","5.8","13.4","6.9","18.4","6.0","12.6","8.3","11.9","5.4","79623","12754","112231","17401","(X)","(X)","(X)","(X)","37.1","(X)",
