"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"860Z200US07001","ZCTA5 07001","5615","497","4.0","3.0","1.2","1.1","3.2","2.5","4.5","2.2","11.0","6.5","9.7","3.3","15.0","4.3","22.6","5.4","9.7","3.1","19.0","4.7","101670","10769","125172","16038","44.6","(X)","(X)","(X)","(X)","(X)","3602","380","2.9","2.6","0.0","1.2","4.8","3.6","3.2","2.7","3.4","2.4","10.4","3.6","16.7","4.5","23.7","5.7","11.2","4.2","23.7","6.1","115440","11826","146087","22438","(X)","(X)","41.6","(X)","(X)","(X)","2500","328","0.7","1.2","0.0","1.8","1.6","2.0","1.3","2.0","2.4","1.6","5.8","4.1","17.4","5.3","26.0","6.8","13.3","5.6","31.5","7.9","137875","19070","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2013","517","6.0","5.7","3.4","3.3","2.2","2.7","6.8","4.2","24.7","16.1","10.9","6.6","10.6","8.2","18.4","10.4","8.1","5.6","8.9","6.6","61510","34319","82265","14811","(X)","(X)","(X)","(X)","50.1","(X)",
"860Z200US07002","ZCTA5 07002","28951","793","4.9","1.1","4.7","1.2","6.0","1.3","6.7","1.5","8.2","1.5","14.5","2.0","14.8","1.9","19.5","2.2","8.2","1.2","12.6","2.1","83887","5237","106298","6403","38.0","(X)","(X)","(X)","(X)","(X)","17588","565","2.9","1.0","2.3","1.1","4.5","1.3","6.5","2.1","8.2","1.8","12.3","2.2","15.1","2.7","21.0","2.8","11.3","2.0","15.7","2.5","97425","5405","118708","6123","(X)","(X)","42.0","(X)","(X)","(X)","10722","686","1.7","0.8","1.9","1.4","2.8","1.4","4.2","3.0","5.7","1.9","7.5","2.2","12.0","2.6","25.6","4.1","16.2","3.1","22.4","3.5","126558","5115","145314","9027","(X)","(X)","(X)","(X)","(X)","(X)","11363","1038","8.9","2.3","8.5","2.3","8.8","2.7","8.0","2.1","10.8","2.4","18.9","3.8","12.1","2.8","13.8","3.2","3.4","1.0","6.8","3.8","53978","4100","77800","11912","(X)","(X)","(X)","(X)","29.9","(X)",
"860Z200US07003","ZCTA5 07003","21215","706","2.7","0.9","2.0","0.8","4.9","1.3","5.5","1.6","5.6","1.3","14.8","2.4","12.6","2.0","20.0","2.7","12.6","1.8","19.1","2.5","103663","6326","139365","12261","37.4","(X)","(X)","(X)","(X)","(X)","12936","466","1.5","0.9","0.6","0.5","3.0","1.7","3.1","1.5","3.9","1.5","10.7","2.7","11.9","2.7","25.4","3.9","13.5","2.3","26.4","3.2","126909","6678","156727","8444","(X)","(X)","44.3","(X)","(X)","(X)","9365","504","1.1","1.1","0.2","0.3","2.0","1.3","2.0","1.2","2.6","1.5","9.1","3.0","9.0","2.3","24.7","4.3","16.0","3.0","33.4","4.2","147212","11210","N","N","(X)","(X)","(X)","(X)","(X)","(X)","8279","753","4.6","1.9","4.3","1.9","9.3","3.1","8.7","3.1","8.7","2.7","21.6","4.7","13.4","3.0","12.8","3.1","10.2","3.5","6.4","2.7","68789","1825","108719","26584","(X)","(X)","(X)","(X)","26.1","(X)",
"860Z200US07004","ZCTA5 07004","3039","272","6.3","5.7","0.0","1.5","2.5","2.9","4.5","4.2","3.6","3.1","5.0","3.3","16.0","9.1","23.8","7.7","15.1","6.4","23.1","7.1","115980","14772","145876","20982","36.0","(X)","(X)","(X)","(X)","(X)","2289","253","5.2","7.0","0.0","1.9","1.9","3.1","0.6","1.9","0.8","1.3","6.0","4.1","6.3","4.0","30.1","9.8","19.3","8.4","29.9","8.9","148073","33956","171704","25491","(X)","(X)","37.0","(X)","(X)","(X)","1908","268","6.2","8.4","0.0","2.3","0.0","2.3","0.0","2.3","0.9","1.5","6.5","4.7","7.6","4.8","23.5","9.3","22.0","9.4","33.3","10.4","165597","22555","N","N","(X)","(X)","(X)","(X)","(X)","(X)","750","347","9.9","12.1","0.0","5.8","4.3","6.6","16.5","17.0","12.1","11.6","2.1","3.6","45.6","25.8","4.7","5.7","2.4","4.1","2.4","4.2","81759","64526","67047","17078","(X)","(X)","(X)","(X)","33.1","(X)",
"860Z200US07005","ZCTA5 07005","5801","348","5.4","3.5","0.8","0.7","3.7","1.9","5.2","3.0","3.7","1.6","7.1","2.4","11.8","2.9","17.6","3.9","16.1","4.1","28.6","4.2","132629","13206","168824","13146","34.5","(X)","(X)","(X)","(X)","(X)","3997","229","1.4","1.3","0.0","1.1","1.9","1.7","1.2","1.0","2.7","1.7","5.6","2.7","11.0","3.1","18.4","4.7","20.5","5.1","37.4","5.6","167875","18579","206510","16063","(X)","(X)","37.7","(X)","(X)","(X)","3459","228","0.5","0.8","0.0","1.3","1.4","1.7","0.6","0.6","2.2","1.7","5.6","2.9","10.3","3.3","17.5","5.3","20.5","6.0","41.3","6.2","180236","17544","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1804","341","14.4","10.8","2.6","2.2","7.7","4.9","14.0","9.0","5.9","4.5","10.8","5.2","13.6","6.4","17.6","8.0","5.6","4.0","7.9","3.8","60526","23637","82667","15731","(X)","(X)","(X)","(X)","26.9","(X)",
"860Z200US07006","ZCTA5 07006","10074","328","3.5","1.2","0.6","0.4","2.4","1.2","3.0","1.3","5.6","1.9","9.6","1.9","9.2","2.4","16.2","2.7","13.7","3.9","36.1","4.0","149102","8817","196078","13312","38.3","(X)","(X)","(X)","(X)","(X)","7205","297","1.3","1.0","1.2","1.3","0.5","0.4","1.7","1.2","1.5","0.9","5.0","1.5","8.1","2.7","17.3","3.4","16.8","5.3","46.6","5.2","185080","20987","233509","17024","(X)","(X)","41.9","(X)","(X)","(X)","6275","355","0.3","0.4","0.4","0.5","0.4","0.4","1.5","1.3","1.0","0.7","3.7","1.4","7.9","2.9","17.7","3.7","17.3","5.8","49.8","5.9","198798","29696","N","N","(X)","(X)","(X)","(X)","(X)","(X)","2869","381","9.5","3.3","1.4","1.1","7.1","3.9","6.4","3.2","13.6","5.1","21.7","5.1","11.4","4.5","13.9","4.7","5.3","2.4","9.7","3.6","63057","5382","99047","15616","(X)","(X)","(X)","(X)","27.5","(X)",
"860Z200US07008","ZCTA5 07008","8230","375","4.2","1.7","2.9","2.9","4.3","2.2","3.0","1.6","8.9","3.3","17.0","4.1","11.3","4.1","19.7","4.3","14.9","3.9","13.7","4.4","97021","15773","121147","11267","41.8","(X)","(X)","(X)","(X)","(X)","6242","340","4.2","1.8","0.3","0.4","2.7","1.8","2.1","1.7","9.6","4.2","15.6","4.4","13.7","5.6","19.8","5.1","18.3","4.6","13.7","5.0","107083","14367","129553","12589","(X)","(X)","44.0","(X)","(X)","(X)","4014","370","0.8","0.9","0.4","0.6","0.9","0.9","1.0","1.2","6.4","3.1","13.4","5.5","15.4","7.3","23.3","6.4","19.4","6.5","19.0","7.6","120993","15330","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1988","392","7.7","4.5","11.3","11.2","10.6","5.9","5.7","3.3","8.1","3.8","26.8","9.1","8.3","4.9","14.9","8.7","3.6","3.4","3.1","3.4","57060","8604","66024","12833","(X)","(X)","(X)","(X)","31.6","(X)",
"860Z200US07009","ZCTA5 07009","4992","243","5.2","2.6","0.3","0.5","2.7","1.4","2.8","1.9","4.4","2.2","7.2","2.7","6.1","2.8","20.0","4.9","19.1","6.0","32.3","6.0","151625","17495","184350","17734","40.6","(X)","(X)","(X)","(X)","(X)","3614","190","1.9","2.0","0.0","1.2","0.8","1.0","2.2","2.1","3.0","2.2","2.7","1.7","6.3","3.7","20.0","5.1","23.1","7.9","40.1","7.2","182609","14208","211102","19513","(X)","(X)","41.5","(X)","(X)","(X)","3254","187","0.9","1.4","0.0","1.4","0.5","0.9","1.8","2.0","3.3","2.4","1.0","1.0","6.1","4.0","19.2","4.9","23.4","8.3","43.8","8.0","185114","8239","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1378","269","14.1","7.6","1.2","1.7","7.8","4.9","4.3","4.6","8.1","5.0","19.4","7.7","6.5","4.7","19.6","10.3","8.9","6.4","10.1","7.4","72400","10232","110527","37281","(X)","(X)","(X)","(X)","38.1","(X)",
"860Z200US07010","ZCTA5 07010","10609","593","4.4","1.7","4.1","1.9","4.3","1.8","5.6","2.0","10.4","2.8","14.9","3.4","8.6","2.4","22.4","4.1","9.1","3.8","16.3","3.2","93452","13809","121080","10262","44.6","(X)","(X)","(X)","(X)","(X)","6535","374","4.5","2.5","0.4","0.6","2.0","1.5","6.0","3.1","8.5","3.9","12.1","2.8","9.9","3.5","26.8","6.2","9.2","3.7","20.6","4.5","112089","11786","141215","13094","(X)","(X)","52.3","(X)","(X)","(X)","4720","408","2.8","2.9","0.6","0.8","1.1","1.1","3.6","2.5","8.1","4.5","11.9","3.2","7.3","2.9","25.4","7.1","12.3","5.0","26.9","6.2","131909","20506","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4074","641","5.7","2.4","10.0","4.6","7.9","3.5","4.9","2.7","12.0","5.0","21.7","7.3","8.2","3.3","14.8","5.1","7.7","6.9","6.9","3.3","57136","9220","79321","10121","(X)","(X)","(X)","(X)","31.8","(X)",
