County,median_income
Anderson County,57445.0
Andrews County,86458.0
Angelina County,57055.0
Aransas County,58168.0
Archer County,69954.0
Armstrong County,70417.0
Atascosa County,67442.0
Austin County,73556.0
Bailey County,69830.0
Bandera County,70965.0
Bastrop County,80151.0
Baylor County,52716.0
Bee County,50283.0
Bell County,62858.0
Bexar County,67275.0
Blanco County,79717.0
Borden County,80625.0
Bosque County,63868.0
Bowie County,56628.0
Brazoria County,91972.0
Brazos County,57562.0
Brewster County,47747.0
Briscoe County,35446.0
Brooks County,30566.0
Brown County,53792.0
Burleson County,71745.0
Burnet County,71482.0
Caldwell County,66779.0
Calhoun County,62267.0
Callahan County,63906.0
Cameron County,47435.0
Camp County,53968.0
Carson County,83199.0
Cass County,54303.0
Castro County,59886.0
Chambers County,106103.0
Cherokee County,56971.0
Childress County,56063.0
Clay County,75227.0
Cochran County,41597.0
Coke County,40230.0
Coleman County,51034.0
Collin County,113255.0
Collingsworth County,52045.0
Colorado County,63352.0
Comal County,93744.0
Comanche County,57383.0
Concho County,55750.0
Cooke County,66374.0
Coryell County,63281.0
Cottle County,47625.0
Crane County,71364.0
Crockett County,64103.0
Crosby County,50268.0
Culberson County,35924.0
Dallam County,71969.0
Dallas County,70732.0
Dawson County,45268.0
Deaf Smith County,51942.0
Delta County,68491.0
Denton County,104180.0
DeWitt County,61100.0
Dickens County,46638.0
Dimmit County,27374.0
Donley County,51711.0
Duval County,50697.0
Eastland County,52902.0
Ector County,70566.0
Edwards County,40809.0
Ellis County,93248.0
El Paso County,55417.0
Erath County,59654.0
Falls County,45172.0
Fannin County,65835.0
Fayette County,72881.0
Fisher County,60461.0
Floyd County,49321.0
Foard County,41944.0
Fort Bend County,109987.0
Franklin County,67915.0
Freestone County,55902.0
Frio County,56042.0
Gaines County,73299.0
Galveston County,83913.0
Garza County,56215.0
Gillespie County,70162.0
Glasscock County,112188.0
Goliad County,58125.0
Gonzales County,64255.0
Gray County,54563.0
Grayson County,66608.0
Gregg County,63811.0
Grimes County,63484.0
Guadalupe County,88111.0
Hale County,50721.0
Hall County,43873.0
Hamilton County,54890.0
Hansford County,62350.0
Hardeman County,60455.0
Hardin County,70164.0
Harris County,70789.0
Harrison County,63427.0
Hartley County,78065.0
Haskell County,52786.0
Hays County,79990.0
Hemphill County,67798.0
Henderson County,59778.0
Hidalgo County,49371.0
Hill County,60669.0
Hockley County,53283.0
Hood County,80013.0
Hopkins County,63766.0
Houston County,51043.0
Howard County,67243.0
Hudspeth County,35163.0
Hunt County,66885.0
Hutchinson County,62211.0
Irion County,54708.0
Jack County,58861.0
Jackson County,67176.0
Jasper County,48818.0
Jeff Davis County,38125.0
Jefferson County,57294.0
Jim Hogg County,42292.0
Jim Wells County,46626.0
Johnson County,77058.0
Jones County,59361.0
Karnes County,57798.0
Kaufman County,84075.0
Kendall County,104196.0
Kenedy County,45455.0
Kent County,68553.0
Kerr County,66713.0
Kimble County,62386.0
King County,59375.0
Kinney County,52386.0
Kleberg County,52487.0
Knox County,48750.0
Lamar County,58246.0
Lamb County,54519.0
Lampasas County,73269.0
La Salle County,62798.0
Lavaca County,58530.0
Lee County,66448.0
Leon County,57363.0
Liberty County,59605.0
Limestone County,53102.0
Lipscomb County,71625.0
Live Oak County,55949.0
Llano County,64241.0
Loving County,
Lubbock County,61911.0
Lynn County,52996.0
McCulloch County,53214.0
McLennan County,59781.0
McMullen County,60313.0
Madison County,65768.0
Marion County,48040.0
Martin County,70217.0
Mason County,77583.0
Matagorda County,56412.0
Maverick County,48497.0
Medina County,73060.0
Menard County,40945.0
Midland County,90123.0
Milam County,56985.0
Mills County,59315.0
Mitchell County,49869.0
Montague County,63336.0
Montgomery County,95946.0
Moore County,59041.0
Morris County,51532.0
Motley County,66528.0
Nacogdoches County,51153.0
Navarro County,56261.0
Newton County,38871.0
Nolan County,47437.0
Nueces County,64027.0
Ochiltree County,62240.0
Oldham County,71103.0
Orange County,71910.0
Palo Pinto County,65242.0
Panola County,58205.0
Parker County,95721.0
Parmer County,65575.0
Pecos County,59325.0
Polk County,57315.0
Potter County,47974.0
Presidio County,29012.0
Rains County,60291.0
Randall County,78038.0
Reagan County,70319.0
Real County,46842.0
Red River County,44583.0
Reeves County,57487.0
Refugio County,54304.0
Roberts County,62667.0
Robertson County,59410.0
Rockwall County,121303.0
Runnels County,55424.0
Rusk County,61661.0
Sabine County,47061.0
San Augustine County,45888.0
San Jacinto County,54839.0
San Patricio County,63842.0
San Saba County,54087.0
Schleicher County,53774.0
Scurry County,58932.0
Shackelford County,60924.0
Shelby County,49231.0
Sherman County,66169.0
Smith County,69053.0
Somervell County,87899.0
Starr County,35979.0
Stephens County,44712.0
Sterling County,63558.0
Stonewall County,66591.0
Sutton County,56778.0
Swisher County,40290.0
Tarrant County,78872.0
Taylor County,61806.0
Terrell County,52813.0
Terry County,42694.0
Throckmorton County,55221.0
Titus County,57634.0
Tom Green County,67215.0
Travis County,92731.0
Trinity County,51165.0
Tyler County,50898.0
Upshur County,60456.0
Upton County,55284.0
Uvalde County,55000.0
Val Verde County,57250.0
Van Zandt County,62334.0
Victoria County,66308.0
Walker County,47193.0
Waller County,71643.0
Ward County,70771.0
Washington County,70043.0
Webb County,59984.0
Wharton County,59712.0
Wheeler County,58158.0
Wichita County,58862.0
Wilbarger County,50769.0
Willacy County,42839.0
Williamson County,102851.0
Wilson County,89708.0
Winkler County,89155.0
Wise County,85385.0
Wood County,61748.0
Yoakum County,80317.0
Young County,65565.0
Zapata County,35061.0
Zavala County,49243.0
