ZIP Code,median_income
73949,62477.0
73960,
75001,73514.0
75002,137037.0
75006,84815.0
75007,111521.0
75009,168250.0
75010,107317.0
75013,146891.0
75019,141923.0
75020,71605.0
75021,83067.0
75022,177357.0
75023,109660.0
75024,117088.0
75025,143260.0
75028,149436.0
75032,135742.0
75033,174762.0
75034,111122.0
75035,166590.0
75036,151645.0
75038,68990.0
75039,104853.0
75040,74519.0
75041,70308.0
75042,64266.0
75043,76778.0
75044,92178.0
75048,131087.0
75050,73274.0
75051,58245.0
75052,89301.0
75054,163229.0
75056,119682.0
75057,82803.0
75058,125694.0
75060,71575.0
75061,63798.0
75062,72704.0
75063,117133.0
75065,102597.0
75067,78752.0
75068,126635.0
75069,85327.0
75070,112352.0
75071,132447.0
75072,165682.0
75074,88697.0
75075,98365.0
75076,76919.0
75077,127211.0
75078,196564.0
75080,92903.0
75081,93165.0
75082,110534.0
75087,129484.0
75088,105313.0
75089,118318.0
75090,55543.0
75092,68036.0
75093,124563.0
75094,171476.0
75098,122089.0
75101,61000.0
75102,88929.0
75103,71013.0
75104,102875.0
75105,
75109,88074.0
75110,57370.0
75114,88013.0
75115,82782.0
75116,67390.0
75117,90954.0
75119,77053.0
75124,79083.0
75125,79545.0
75126,103673.0
75127,60366.0
75132,
75134,69778.0
75135,111235.0
75137,82253.0
75140,55338.0
75141,48159.0
75142,80028.0
75143,67897.0
75144,62949.0
75146,68071.0
75147,56940.0
75148,68569.0
75149,70774.0
75150,65440.0
75152,94935.0
75153,93708.0
75154,100388.0
75155,67336.0
75156,60867.0
75157,100250.0
75158,100263.0
75159,72897.0
75160,71801.0
75161,85981.0
75163,60462.0
75164,65825.0
75165,86391.0
75166,132101.0
75167,117714.0
75169,74350.0
75172,59457.0
75173,101988.0
75180,67019.0
75181,111052.0
75182,170348.0
75189,117125.0
75201,103761.0
75202,133155.0
75203,46989.0
75204,92253.0
75205,181631.0
75206,91023.0
75207,84212.0
75208,81950.0
75209,134707.0
75210,33712.0
75211,56807.0
75212,59750.0
75214,132313.0
75215,45557.0
75216,41386.0
75217,55723.0
75218,107366.0
75219,102364.0
75220,69843.0
75223,73318.0
75224,51919.0
75225,200234.0
75226,70546.0
75227,64008.0
75228,62667.0
75229,121469.0
75230,110956.0
75231,58540.0
75232,61847.0
75233,49870.0
75234,86733.0
75235,63393.0
75236,49715.0
75237,44318.0
75238,82019.0
75240,58320.0
75241,53998.0
75243,53618.0
75244,120286.0
75246,53555.0
75247,20200.0
75248,100414.0
75249,85500.0
75251,90396.0
75252,85000.0
75253,60874.0
75254,67216.0
75261,
75270,
75287,63741.0
75390,
75401,59908.0
75402,77877.0
75407,100037.0
75409,104814.0
75410,73934.0
75411,
75412,64605.0
75413,48750.0
75414,86993.0
75415,93050.0
75416,75735.0
75417,56842.0
75418,68918.0
75420,72521.0
75421,75197.0
75422,75690.0
75423,59375.0
75424,89157.0
75426,35938.0
75428,51424.0
75429,
75431,43242.0
75432,65030.0
75433,86042.0
75434,
75435,50000.0
75436,90043.0
75437,87574.0
75438,101125.0
75439,64500.0
75440,65232.0
75441,
75442,95250.0
75446,52460.0
75447,110391.0
75448,85827.0
75449,56250.0
75450,
75451,58667.0
75452,69479.0
75453,111406.0
75454,138827.0
75455,56163.0
75457,83916.0
75459,71228.0
75460,46473.0
75462,81563.0
75468,105875.0
75469,83375.0
75470,105625.0
75471,77934.0
75472,61694.0
75473,103793.0
75474,64103.0
75475,
75476,57697.0
75477,90469.0
75478,57917.0
75479,74803.0
75480,73920.0
75481,73250.0
75482,69970.0
75486,92460.0
75487,31912.0
75488,54700.0
75489,88676.0
75490,92500.0
75491,79386.0
75492,125917.0
75493,50893.0
75494,59539.0
75495,111563.0
75496,64808.0
75497,56205.0
75501,45995.0
75503,72159.0
75550,61875.0
75551,64248.0
75554,46750.0
75555,58750.0
75556,93750.0
75558,93125.0
75559,58313.0
75560,83667.0
75561,60047.0
75562,
75563,52565.0
75564,
75565,19539.0
75566,39219.0
75567,69350.0
75568,48417.0
75569,55884.0
75570,67622.0
75571,56151.0
75572,45625.0
75573,90349.0
75574,75824.0
75601,65700.0
75602,52330.0
75603,65212.0
75604,67942.0
75605,73190.0
75630,49677.0
75631,83750.0
75633,66102.0
75638,66579.0
75639,49344.0
75640,80967.0
75641,
75642,
75643,59342.0
75644,57633.0
75645,57438.0
75647,65809.0
75650,97596.0
75651,43514.0
75652,69250.0
75654,69848.0
75656,41727.0
75657,49466.0
75658,
75659,
75661,41929.0
75662,70096.0
75667,61065.0
75668,41495.0
75669,88190.0
75670,42386.0
75671,
75672,70610.0
75680,
75681,48079.0
75682,71477.0
75683,65240.0
75684,57273.0
75686,59991.0
75687,
75689,51167.0
75691,89353.0
75692,63904.0
75693,102146.0
75694,
75701,66401.0
75702,51564.0
75703,79194.0
75704,55855.0
75705,81346.0
75706,61687.0
75707,84954.0
75708,85441.0
75709,75625.0
75711,
75750,50948.0
75751,70620.0
75752,70223.0
75754,69815.0
75755,73402.0
75756,81619.0
75757,91165.0
75758,57859.0
75759,250001.0
75760,63182.0
75762,90057.0
75763,69756.0
75764,77614.0
75765,60317.0
75766,51394.0
75770,83542.0
75771,93462.0
75773,58138.0
75778,57589.0
75779,
75780,
75782,60000.0
75783,59407.0
75784,64545.0
75785,65000.0
75788,
75789,83131.0
75790,65039.0
75791,92107.0
75792,54293.0
75801,56787.0
75803,61794.0
75831,51935.0
75833,69338.0
75835,53611.0
75838,27813.0
75839,67404.0
75840,58224.0
75844,60376.0
75845,48333.0
75846,64250.0
75847,42188.0
75848,83750.0
75849,48750.0
75850,130742.0
75851,85982.0
75852,72847.0
75853,71500.0
75855,45962.0
75856,
75858,
75859,75139.0
75860,59950.0
75861,54224.0
75862,52017.0
75865,
75884,
75886,
75901,62966.0
75903,30000.0
75904,60205.0
75925,60811.0
75926,65833.0
75928,31037.0
75929,69554.0
75930,74240.0
75931,79514.0
75932,61161.0
75933,25996.0
75934,
75935,49239.0
75936,70938.0
75937,80441.0
75938,55379.0
75939,46014.0
75941,59593.0
75942,
75943,61302.0
75944,39338.0
75946,58177.0
75948,62028.0
75949,63047.0
75951,53147.0
75954,56600.0
75956,62196.0
75959,68236.0
75960,64300.0
75961,41495.0
75962,
75964,56762.0
75965,55291.0
75966,40087.0
75968,53355.0
75969,84063.0
75972,44196.0
75973,67023.0
75974,47292.0
75975,44297.0
75976,62857.0
75977,25625.0
75979,51594.0
75980,45439.0
76001,105311.0
76002,100667.0
76005,168806.0
76006,59139.0
76008,168314.0
76009,79755.0
76010,45466.0
76011,54038.0
76012,88141.0
76013,70471.0
76014,60333.0
76015,73709.0
76016,108885.0
76017,90083.0
76018,88288.0
76020,87298.0
76021,87097.0
76022,72560.0
76023,77277.0
76028,101138.0
76031,69155.0
76033,76292.0
76034,217914.0
76035,118333.0
76036,97973.0
76039,83140.0
76040,72661.0
76041,131250.0
76043,78306.0
76044,122715.0
76048,70346.0
76049,104967.0
76050,85194.0
76051,111160.0
76052,143555.0
76053,64141.0
76054,109881.0
76055,80025.0
76058,71328.0
76059,51401.0
76060,119156.0
76061,
76063,118946.0
76064,73125.0
76065,127756.0
76066,112733.0
76067,62190.0
76070,140420.0
76071,101989.0
76073,101563.0
76077,118705.0
76078,99866.0
76082,92485.0
76084,102115.0
76085,104531.0
76086,60578.0
76087,114306.0
76088,104038.0
76092,250001.0
76093,57200.0
76102,75859.0
76103,60172.0
76104,61658.0
76105,45770.0
76106,55431.0
76107,79990.0
76108,80412.0
76109,100507.0
76110,69790.0
76111,60194.0
76112,57724.0
76114,62073.0
76115,52411.0
76116,56187.0
76117,51670.0
76118,94530.0
76119,51267.0
76120,80922.0
76123,102768.0
76126,113905.0
76127,
76129,
76131,108694.0
76132,63924.0
76133,75523.0
76134,70945.0
76135,74621.0
76137,90718.0
76140,75955.0
76148,89840.0
76155,73229.0
76164,52882.0
76177,104189.0
76179,107428.0
76180,81503.0
76182,120558.0
76201,39982.0
76203,
76205,68600.0
76207,85330.0
76208,88967.0
76209,75069.0
76210,113980.0
76225,84336.0
76226,180982.0
76227,111402.0
76228,69250.0
76230,66641.0
76233,67516.0
76234,93727.0
76238,96667.0
76239,76250.0
76240,71502.0
76241,
76244,122217.0
76245,92212.0
76247,124383.0
76248,171804.0
76249,120169.0
76250,90625.0
76251,62375.0
76252,94444.0
76253,69952.0
76255,55841.0
76258,103532.0
76259,101845.0
76261,61250.0
76262,151250.0
76263,178182.0
76264,77955.0
76265,76036.0
76266,99425.0
76267,
76268,
76270,73553.0
76271,78125.0
76272,81174.0
76273,82021.0
76301,41947.0
76302,59590.0
76305,78071.0
76306,46957.0
76308,74772.0
76309,54159.0
76310,82183.0
76311,77404.0
76351,46484.0
76354,68721.0
76357,74318.0
76360,69143.0
76363,52778.0
76364,117928.0
76365,78484.0
76366,56034.0
76367,76310.0
76370,86750.0
76371,61335.0
76372,69167.0
76373,60417.0
76374,43939.0
76377,65667.0
76379,70313.0
76380,45880.0
76384,53564.0
76388,64236.0
76389,98750.0
76401,61210.0
76402,
76424,56082.0
76426,92130.0
76427,75191.0
76429,
76430,77102.0
76431,86875.0
76432,69688.0
76433,117702.0
76435,76667.0
76436,51397.0
76437,60923.0
76439,
76442,59853.0
76443,49915.0
76444,68147.0
76445,72857.0
76446,57583.0
76448,57122.0
76449,72813.0
76450,75258.0
76452,141528.0
76453,99293.0
76454,36354.0
76455,56346.0
76457,72238.0
76458,64297.0
76459,33438.0
76460,76964.0
76462,99160.0
76463,58750.0
76464,64038.0
76466,
76469,
76470,39434.0
76471,54773.0
76472,103482.0
76474,
76475,58333.0
76476,81364.0
76481,82244.0
76483,53214.0
76484,95476.0
76486,69808.0
76487,77361.0
76490,
76491,77917.0
76501,62532.0
76502,82088.0
76504,52803.0
76511,69286.0
76513,80661.0
76518,59333.0
76519,90682.0
76520,64800.0
76522,72206.0
76523,80066.0
76524,69286.0
76525,80208.0
76527,81574.0
76528,70558.0
76530,106250.0
76531,49100.0
76534,80536.0
76537,98199.0
76538,63750.0
76539,100625.0
76541,37349.0
76542,74055.0
76543,48564.0
76544,62846.0
76548,80520.0
76549,70871.0
76550,78578.0
76554,75500.0
76556,52328.0
76557,86056.0
76559,76286.0
76561,60357.0
76565,
76566,115417.0
76567,69983.0
76569,65491.0
76570,40000.0
76571,111863.0
76573,
76574,78568.0
76577,64107.0
76578,105063.0
76579,85480.0
76596,
76597,
76598,
76599,
76621,81932.0
76622,74167.0
76623,
76624,79625.0
76626,102500.0
76627,70375.0
76628,97083.0
76629,72262.0
76630,83950.0
76631,97083.0
76632,76193.0
76633,106755.0
76634,74694.0
76635,62031.0
76636,69018.0
76637,79375.0
76638,129917.0
76639,48514.0
76640,66641.0
76641,81094.0
76642,62243.0
76643,83511.0
76645,63737.0
76648,54669.0
76649,81771.0
76650,61458.0
76651,67500.0
76652,73545.0
76653,48500.0
76654,69583.0
76655,99917.0
76656,70703.0
76657,97634.0
76660,49375.0
76661,41056.0
76664,74618.0
76665,62857.0
76666,
