ZIP Code,population
73949,1463
73960,7
75001,16633
75002,72679
75006,48062
75007,54498
75009,28109
75010,31609
75013,46649
75019,44706
75020,24486
75021,8925
75022,27000
75023,49376
75024,43520
75025,54201
75028,47751
75032,36514
75033,47416
75034,48749
75035,83930
75036,31792
75038,32559
75039,21795
75040,63143
75041,31344
75042,37925
75043,64296
75044,47010
75048,28210
75050,43856
75051,40166
75052,94636
75054,17261
75056,65785
75057,17280
75058,3801
75060,48997
75061,56319
75062,52772
75063,44570
75065,12787
75067,67117
75068,68074
75069,39048
75070,57516
75071,66298
75072,55304
75074,51443
75075,37032
75076,8536
75077,39853
75078,40513
75080,52184
75081,36493
75082,29386
75087,40201
75088,27143
75089,34974
75090,25788
75092,26588
75093,47069
75094,23370
75098,65655
75101,668
75102,1877
75103,16372
75104,49291
75105,154
75109,4466
75110,31008
75114,7123
75115,56012
75116,20145
75117,4576
75119,29509
75124,5822
75125,6920
75126,67852
75127,1781
75132,0
75134,20179
75135,8515
75137,20013
75140,7933
75141,4510
75142,22756
75143,14584
75144,3883
75146,24089
75147,8239
75148,6143
75149,59371
75150,63895
75152,5859
75153,568
75154,48510
75155,3142
75156,16262
75157,216
75158,6202
75159,22751
75160,25964
75161,6468
75163,2540
75164,430
75165,48970
75166,5762
75167,13421
75169,15361
75172,5378
75173,9296
75180,27050
75181,27980
75182,7873
75189,38261
75201,17985
75202,2421
75203,16265
75204,31627
75205,25212
75206,38432
75207,8029
75208,29992
75209,14208
75210,8750
75211,73948
75212,27045
75214,34015
75215,18950
75216,55085
75217,87154
75218,21393
75219,24797
75220,40327
75223,13174
75224,35903
75225,21965
75226,5108
75227,58315
75228,68472
75229,32885
75230,26503
75231,39158
75232,33333
75233,15876
75234,33838
75235,18936
75236,18249
75237,19530
75238,32180
75240,26058
75241,33081
75243,63047
75244,12734
75246,2265
75247,992
75248,37282
75249,17853
75251,3801
75252,27541
75253,24411
75254,24316
75261,0
75270,0
75287,52240
75390,0
75401,21000
75402,20299
75407,26607
75409,22249
75410,4196
75411,875
75412,512
75413,187
75414,3284
75415,302
75416,2865
75417,2357
75418,14473
75420,1364
75421,847
75422,2826
75423,3024
75424,3483
75426,3793
75428,11398
75429,0
75431,1841
75432,3115
75433,3053
75434,0
75435,1060
75436,2334
75437,1125
75438,1046
75439,1123
75440,7251
75441,90
75442,10571
75446,3594
75447,1187
75448,862
75449,1082
75450,482
75451,1613
75452,4979
75453,3173
75454,17241
75455,26816
75457,6278
75459,5395
75460,24094
75462,11406
75468,1142
75469,311
75470,161
75471,1690
75472,3905
75473,3663
75474,16586
75475,19
75476,1195
75477,1246
75478,879
75479,2019
75480,1730
75481,385
75482,25724
75486,2569
75487,1398
75488,919
75489,832
75490,2775
75491,5094
75492,342
75493,699
75494,11167
75495,9658
75496,3462
75497,3896
75501,34183
75503,27675
75550,615
75551,10917
75554,2447
75555,1534
75556,1297
75558,2043
75559,5455
75560,1033
75561,4901
75562,89
75563,3920
75564,22
75565,218
75566,678
75567,3863
75568,2494
75569,3456
75570,11197
75571,2618
75572,3162
75573,194
75574,1402
75601,15470
75602,21343
75603,6341
75604,31361
75605,33614
75630,2622
75631,2738
75633,13055
75638,5041
75639,2256
75640,5720
75641,101
75642,71
75643,2216
75644,12902
75645,10180
75647,13026
75650,9921
75651,2197
75652,13704
75654,12817
75656,4580
75657,6771
75658,26
75659,0
75661,2734
75662,24640
75667,1329
75668,2471
75669,1041
75670,18466
75671,0
75672,16637
75680,0
75681,2593
75682,664
75683,3810
75684,8030
75686,13180
75687,0
75689,201
75691,4547
75692,4830
75693,6128
75694,0
75701,34822
75702,27775
75703,43682
75704,9284
75705,2348
75706,11334
75707,15724
75708,10155
75709,5031
75711,163
75750,3291
75751,17989
75752,7573
75754,7460
75755,4982
75756,4299
75757,13430
75758,9131
75759,139
75760,2204
75762,14459
75763,6336
75764,158
75765,7944
75766,26128
75770,2557
75771,21408
75773,14227
75778,2471
75779,22
75780,404
75782,103
75783,7854
75784,794
75785,10906
75788,43
75789,7898
75790,3777
75791,14685
75792,3558
75801,16549
75803,21702
75831,5152
75833,2764
75835,11470
75838,304
75839,6189
75840,6428
75844,4922
75845,2262
75846,2609
75847,1634
75848,100
75849,125
75850,1447
75851,4513
75852,3173
75853,1042
75855,2657
75856,211
75858,60
75859,2607
75860,6305
75861,1438
75862,10017
75865,0
75884,3535
75886,3005
75901,28257
75903,136
75904,34191
75925,3217
75926,1301
75928,987
75929,1358
75930,1972
75931,2053
75932,1393
75933,1316
75934,142
75935,12073
75936,951
75937,1303
75938,2306
75939,5415
75941,8666
75942,162
75943,1372
75944,852
75946,3943
75948,5307
75949,8472
75951,15148
75954,2719
75956,7374
75959,974
75960,785
75961,15081
75962,3336
75964,20623
75965,17410
75966,4788
75968,2128
75969,4597
75972,6081
75973,2934
75974,2726
75975,4441
75976,1225
75977,461
75979,11473
75980,2522
76001,38010
76002,33076
76005,4899
76006,24072
76008,23084
76009,19879
76010,57197
76011,22529
76012,27769
76013,35535
76014,32805
76015,17474
76016,31079
76017,46361
76018,27827
76020,32937
76021,34858
76022,14632
76023,7227
76028,76343
76031,18108
76033,27664
76034,25793
76035,3101
76036,30489
76039,41045
76040,30708
76041,772
76043,7281
76044,7644
76048,27005
76049,29301
76050,7395
76051,50303
76052,27171
76053,31396
76054,11886
76055,3566
76058,21082
76059,5224
76060,8552
76061,59
76063,80101
76064,1952
76065,42415
76066,4923
76067,20582
76070,766
76071,4610
76073,6948
76077,748
76078,9696
76082,23489
76084,12058
76085,11695
