State,Registration Count,Mean households income,Population,Population Density,Mean travel time to work,URBAN POP,URBAN POP_PCT,EV Charging Station,EV Charging Port
Alabama,13047,60660,5117850,100.87,26,2900880,57.7,539,1649
Alaska,2697,98190,734654,1.29,19.8,475967,64.9,71,196
Arizona,89798,82660,7452073,65.42,26.4,6385230,89.3,1484,4588
Arkansas,7108,63250,3069856,58.96,22.7,1670677,55.5,364,1067
California,1256646,89870,39181667,250.15,29.7,37259490,94.2,18905,62500
Colorado,90083,96640,5912240,56.71,25.7,4966936,86,2640,6920
Connecticut,31557,92240,3641369,747.35,27,3110153,86.3,1464,4480
Delaware,8435,86340,1035354,529.45,26.8,817817,82.6,216,699
District of Columbia,8066,111000,682559,11130.69,31,689545,100,318,1091
Florida,254878,72200,22929248,421.82,28.9,19714806,91.5,4162,14033
Georgia,92368,72420,11063669,191.81,29.4,7933986,74.1,2308,7067
Hawaii,25565,97360,1434950,223.26,26.7,1252450,86.1,362,932
Idaho,8501,73910,1970497,23.77,22.2,1273437,69.2,236,648
Illinois,99573,87820,12633389,226.05,28.3,11137590,86.9,1679,5369
Indiana,26101,76910,6881373,191.56,24.6,4829686,71.2,703,2069
Iowa,9031,80860,3214739,57.41,20.4,2014831,63.2,478,1234
Kansas,11271,84830,2949749,35.96,20,2124059,72.3,567,1322
Kentucky,11617,61980,4549953,114.61,24.5,2644856,58.7,377,1095
Louisiana,8150,57650,4598777,105.88,26.2,3332237,71.5,276,849
Maine,7377,75740,1401992,45.26,25.6,526309,38.6,641,1561
Maryland,72139,102000,6204927,636.81,32.3,5288760,85.6,1644,5282
Massachusetts,73768,106500,7073479,897.5,30.6,6416895,91.3,4133,10461
Michigan,50284,76960,10062124,177.56,24.3,7404258,73.5,1967,5315
Minnesota,37050,90340,5752998,72.08,22.7,4101754,71.9,1070,2961
Mississippi,3590,55060,2942470,62.65,26.4,1370790,46.3,215,658
Missouri,26861,78290,6205956,90.17,24,4275663,69.5,1305,3175
Montana,4608,79220,1130612,7.78,19.5,579177,53.4,155,473
Nebraska,6920,89190,1988172,25.75,19.9,1432003,73,314,692
Nevada,47361,81310,3211077,29.1,25.7,2921203,94.1,635,2618
New Hampshire,9861,98780,1401530,156.62,27.5,803420,58.3,284,771
New Jersey,134753,91590,9395315,1263.37,31.9,8708779,93.8,1788,5604
New Mexico,10276,60980,2119349,17.43,24,1578552,74.5,441,1137
New York,131250,81600,19786543,415.3,33.2,17665166,87.4,5131,18808
North Carolina,70164,68610,10871849,222.87,25.7,6964727,66.7,1874,5636
North Dakota,959,76960,787071,11.36,17.5,474989,61,106,272
Ohio,50393,73770,11808390,288.46,23.8,9001099,76.3,1883,5053
Oklahoma,22843,67330,4062716,59.09,22.7,2558611,64.6,395,1642
Oregon,64361,88740,4250392,44.1,23.2,3410984,80.5,1598,4149
Pennsylvania,70154,79820,13009406,289.72,27.1,9941070,76.5,1928,5472
Rhode Island,6396,81860,1101183,1059.92,26.3,999191,91.1,333,815
South Carolina,20873,69100,5390798,178.7,26.3,3477869,67.9,641,2012
South Dakota,1675,81740,917739,12.13,18.5,507347,57.2,116,314
Tennessee,33221,72700,7153029,172.83,26.5,4577282,66.2,1093,2974
Texas,230125,79060,30719247,116.77,27.5,24400697,83.7,3702,11771
Utah,39998,101200,3449259,94.83,23.2,2937303,89.8,961,2881
Vermont,7816,85190,647722,41.58,23.9,225850,35.1,526,1347
Virginia,84936,96490,8732034,70.25,28.3,6528313,75.6,1777,5259
Washington,152101,93440,7838655,220.69,27.2,6424035,83.4,2790,7799
West Virginia,2758,60410,1770036,117.58,26.5,800857,44.6,183,547
Wisconsin,24943,79690,5930350,73.64,22.7,3953691,67.1,811,2131
Wyoming,1139,77200,584666,109.15,19.7,357750,62,119,330
